#{"t_start": 1701505750.9491682, "env_id": "Reacher-v4"}
r,l,t
-62.798132,50,1.031738
-67.685328,50,1.087375
-60.349629,50,1.139939
-64.580094,50,1.191354
-59.738956,50,1.244806
-62.642689,50,1.29637
-54.502171,50,1.349958
-66.787644,50,1.404502
-60.337906,50,1.45771
-66.740747,50,1.508413
-55.120806,50,1.84828
-71.033997,50,1.899766
-62.021758,50,1.953355
-54.35014,50,2.004592
-68.203471,50,2.058151
-56.990171,50,2.109496
-69.23088,50,2.162618
-53.316502,50,2.217268
-61.93818,50,2.26998
-55.537473,50,2.321342
-64.235209,50,2.662225
-55.334713,50,2.713387
-55.257449,50,2.773862
-56.470654,50,2.833925
-57.415005,50,2.895087
-63.479859,50,2.952779
-74.295686,50,3.006248
-66.302747,50,3.061368
-58.99392,50,3.113956
-70.43428,50,3.1647
-56.491437,50,3.498145
-62.624395,50,3.550438
-68.419522,50,3.603711
-69.420408,50,3.654656
-63.200912,50,3.707013
-57.154032,50,3.757164
-67.662025,50,3.809424
-71.923859,50,3.859523
-63.944063,50,3.911735
-65.099813,50,3.962278
-64.147913,50,4.300505
-59.436184,50,4.352402
-61.042084,50,4.406744
-56.832637,50,4.458502
-60.483765,50,4.511668
-60.742922,50,4.564083
-61.521565,50,4.617291
-61.38245,50,4.66788
-54.407062,50,4.720422
-62.20623,50,4.771085
-68.639377,50,4.824092
-58.447853,50,5.157737
-60.651847,50,5.21099
-64.820421,50,5.262153
-55.059139,50,5.316198
-62.400839,50,5.367944
-75.222407,50,5.421971
-64.918879,50,5.47345
-64.967247,50,5.526536
-54.501949,50,5.578858
-62.541664,50,5.632171
-59.17385,50,5.96533
-58.811391,50,6.018279
-63.41947,50,6.069008
-61.177325,50,6.121519
-61.893556,50,6.171811
-56.248246,50,6.22415
-63.412138,50,6.27451
-59.354882,50,6.326923
-66.162402,50,6.377769
-69.199778,50,6.430842
-63.653082,50,6.76441
-55.682751,50,6.817924
-56.817565,50,6.869009
-63.057141,50,6.922032
-59.605989,50,6.973344
-54.562205,50,7.026301
-61.451098,50,7.077226
-56.971965,50,7.129933
-60.304895,50,7.183551
-59.641715,50,7.236351
-58.061783,50,7.570674
-55.398018,50,7.624236
-65.354284,50,7.675802
-57.179263,50,7.729595
-60.953088,50,7.781041
-62.386134,50,7.834195
-59.491615,50,7.884666
-60.673525,50,7.936858
-58.512277,50,7.987773
-60.851979,50,8.040024
-52.080108,50,8.091205
-60.486126,50,8.42787
-64.772102,50,8.479025
-64.781351,50,8.532061
-63.119882,50,8.58403
-53.67109,50,8.636192
-60.25884,50,8.686965
-61.85843,50,8.739955
-58.797079,50,8.790409
-54.893468,50,8.842757
-57.914005,50,8.892979
-63.191765,50,9.228936
-69.879946,50,9.28091
-59.357165,50,9.335789
-66.184603,50,9.387577
-61.509907,50,9.441206
-64.768924,50,9.49245
-64.131169,50,9.545809
-52.962319,50,9.597623
-64.695948,50,9.65038
-62.098164,50,9.701531
-55.893017,50,10.036218
-65.156081,50,10.087706
-70.499114,50,10.141632
-65.772471,50,10.192942
-63.218016,50,10.246053
-51.063824,50,10.297775
-59.887819,50,10.351592
-66.763951,50,10.403198
-65.028672,50,10.456373
-60.591693,50,10.507601
-61.072611,50,10.843881
-59.307174,50,10.895193
-60.067212,50,10.94843
-48.340943,50,10.999308
-60.252491,50,11.05152
-53.721057,50,11.102679
-56.641588,50,11.155792
-57.123046,50,11.20702
-58.508493,50,11.260159
-60.977078,50,11.31148
-54.099768,50,11.36448
-60.61707,50,11.700294
-56.409937,50,11.759463
-56.700476,50,11.816105
-57.107457,50,11.874274
-56.539492,50,11.929913
-56.535732,50,11.988364
-58.737676,50,12.044814
-59.442579,50,12.103881
-50.872476,50,12.160276
-58.356046,50,12.220532
-59.761244,50,12.56126
-61.202129,50,12.615875
-60.062125,50,12.667559
-55.391131,50,12.72166
-56.032142,50,12.778446
-63.152984,50,12.83657
-60.130404,50,12.887196
-58.444466,50,12.939939
-53.662402,50,12.996092
-63.258137,50,13.054828
-62.870932,50,13.406821
-56.36695,50,13.461004
-58.374901,50,13.512211
-61.896904,50,13.57112
-50.370863,50,13.629284
-53.628451,50,13.688386
-60.218476,50,13.745805
-54.339657,50,13.798906
-55.351366,50,13.854796
-59.234172,50,13.913506
-65.290275,50,14.252177
-54.111449,50,14.308873
-57.586066,50,14.366156
-63.91277,50,14.425634
-53.425593,50,14.476982
-55.883076,50,14.535657
-60.882451,50,14.592765
-51.12875,50,14.651925
-61.023252,50,14.708542
-55.768059,50,14.767045
-58.429988,50,14.818217
-56.243001,50,15.156178
-67.697591,50,15.213083
-46.621085,50,15.266551
-56.735119,50,15.31873
-60.044513,50,15.377693
-55.192037,50,15.429172
-64.803439,50,15.487904
-51.534296,50,15.539376
-52.38726,50,15.599221
-48.383021,50,15.656694
-60.632857,50,15.999969
-55.576375,50,16.051315
-54.132408,50,16.109968
-58.454772,50,16.166682
-56.27544,50,16.225302
-48.546849,50,16.282083
-52.353623,50,16.340946
-51.45049,50,16.397842
-60.806002,50,16.456447
-62.946047,50,16.507892
-56.243287,50,16.851957
-56.96886,50,16.908943
-52.631826,50,16.967972
-61.238196,50,17.024704
-55.364719,50,17.078323
-46.404468,50,17.13512
-63.798167,50,17.197929
-55.329971,50,17.249372
-58.776608,50,17.302991
-55.253215,50,17.35453
-62.166376,50,17.698173
-50.659329,50,17.750651
-52.069726,50,17.809519
-62.76186,50,17.86599
-62.723761,50,17.924398
-57.560023,50,17.981157
-56.859428,50,18.03425
-52.894724,50,18.090731
-60.738565,50,18.14951
-61.752772,50,18.200787
-56.048254,50,18.253917
-51.726409,50,18.593363
-59.516556,50,18.652831
-54.580162,50,18.709532
-56.103326,50,18.762676
-57.982008,50,18.81917
-56.396385,50,18.877497
-55.592051,50,18.933946
-59.905136,50,18.992398
-62.038687,50,19.048342
-57.729986,50,19.102171
-52.543974,50,19.442393
-53.189997,50,19.495678
-57.144064,50,19.552122
-57.71961,50,19.604637
-48.373422,50,19.656349
-49.746563,50,19.715107
-51.945129,50,19.771808
-52.486695,50,19.830484
-50.877456,50,19.886984
-59.631452,50,19.945573
-57.062687,50,20.278564
-57.695647,50,20.332564
-60.116853,50,20.3839
-60.405212,50,20.437253
-52.766815,50,20.488464
-56.716305,50,20.541663
-54.210508,50,20.592775
-54.174983,50,20.647094
-58.857463,50,20.698401
-49.712177,50,20.751585
-63.300384,50,21.083386
-51.13989,50,21.135175
-54.02861,50,21.189791
-60.876198,50,21.246298
-55.250016,50,21.300757
-74.490982,50,21.357299
-54.967315,50,21.406905
-55.990264,50,21.458574
-57.287308,50,21.508428
-51.612909,50,21.560132
-58.142767,50,21.615031
-52.832684,50,21.951702
-57.382839,50,22.006983
-52.769994,50,22.058588
-62.163849,50,22.108242
-52.861601,50,22.15983
-57.306014,50,22.212489
-53.502222,50,22.264667
-53.798322,50,22.315223
-60.303596,50,22.372579
-53.181944,50,22.42246
-56.809497,50,22.754735
-47.724475,50,22.809734
-67.699517,50,22.866932
-50.287153,50,22.916679
-58.38419,50,22.96858
-58.98517,50,23.018464
-52.141586,50,23.070407
-57.551195,50,23.120826
-49.836779,50,23.173159
-52.638147,50,23.228478
-58.709874,50,23.563465
-58.717638,50,23.61331
-49.018459,50,23.66613
-58.006152,50,23.716093
-57.718162,50,23.767832
-54.257301,50,23.8227
-52.402575,50,23.874324
-57.253373,50,23.924127
-59.120552,50,23.975949
-57.748456,50,24.02581
-56.559592,50,24.359426
-45.543929,50,24.410107
-48.780624,50,24.462297
-51.970831,50,24.517267
-55.003006,50,24.568846
-50.244863,50,24.618458
-57.162764,50,24.671284
-59.891196,50,24.721327
-47.359285,50,24.778334
-49.141593,50,24.833209
-50.674559,50,25.169616
-53.664302,50,25.225858
-58.537222,50,25.283823
-50.995685,50,25.335397
-62.763015,50,25.388084
-50.161469,50,25.438956
-55.949742,50,25.491602
-58.702998,50,25.547699
-52.621787,50,25.600624
-43.359098,50,25.657576
-55.562404,50,25.716024
-58.374994,50,26.049151
-58.412053,50,26.10672
-51.722477,50,26.162486
-55.288565,50,26.220371
-53.871092,50,26.275956
-57.624618,50,26.32846
-56.345987,50,26.38431
-48.195889,50,26.442018
-62.636364,50,26.497649
-52.55473,50,26.550415
-51.272005,50,26.884327
-52.631066,50,26.93696
-55.08051,50,26.992849
-51.071863,50,27.050821
-49.155082,50,27.106333
-58.143813,50,27.163922
-46.623173,50,27.220955
-55.208341,50,27.279131
-51.961707,50,27.335349
-50.694929,50,27.393018
-56.543276,50,27.729407
-57.041197,50,27.788272
-54.275619,50,27.844623
-50.961661,50,27.897022
-52.195472,50,27.947521
-59.13252,50,28.000981
-59.509838,50,28.050824
-54.437629,50,28.103535
-53.91255,50,28.154433
-48.138663,50,28.207288
-54.081072,50,28.539052
-55.575398,50,28.597415
-54.656716,50,28.653466
-46.881387,50,28.707116
-49.254885,50,28.763368
-49.753527,50,28.822428
-51.766478,50,28.878388
-50.865371,50,28.936408
-51.13743,50,28.988223
-52.776281,50,29.046429
-60.355242,50,29.097412
-53.358376,50,29.443441
-61.259005,50,29.494333
-60.084424,50,29.546755
-51.781101,50,29.602318
-61.106765,50,29.65995
-53.380578,50,29.712036
-50.512883,50,29.764938
-52.77763,50,29.816124
-61.818401,50,29.874048
-54.807124,50,29.923991
-61.477352,50,30.255167
-55.373309,50,30.30656
-56.027055,50,30.359478
-52.090241,50,30.410306
-52.040383,50,30.463031
-61.574549,50,30.513735
-54.587895,50,30.566018
-48.542046,50,30.616041
-58.358926,50,30.667783
-49.026055,50,30.71911
-50.188157,50,31.051548
-54.677016,50,31.107365
-52.90532,50,31.15972
-49.865553,50,31.214926
-52.488731,50,31.272399
-51.830001,50,31.322767
-49.313913,50,31.380075
-48.897626,50,31.434988
-51.839594,50,31.491876
-52.40106,50,31.546597
-60.483133,50,31.885702
-59.711647,50,31.936403
-53.079075,50,31.98848
-55.232161,50,32.03836
-51.626315,50,32.091001
-59.131574,50,32.141646
-46.717607,50,32.1951
-58.184002,50,32.250378
-59.018031,50,32.30384
-54.728759,50,32.355003
-56.545408,50,32.406641
-50.091808,50,32.73984
-52.9777,50,32.793325
-49.784922,50,32.844633
-56.136051,50,32.89647
-54.503738,50,32.946463
-52.359991,50,32.998551
-49.006838,50,33.048503
-52.020651,50,33.101173
-60.560516,50,33.151687
-51.19081,50,33.203737
-59.811113,50,33.534888
-48.53926,50,33.587554
-49.799218,50,33.638144
-55.11984,50,33.690166
-56.82302,50,33.741459
-52.528636,50,33.794695
-54.668739,50,33.845882
-55.278551,50,33.898462
-45.384357,50,33.949263
-49.048405,50,34.0014
-60.548127,50,34.339144
-42.989229,50,34.393249
-54.135753,50,34.449891
-52.835996,50,34.501747
-53.25158,50,34.556651
-58.86346,50,34.613452
-56.859638,50,34.663459
